,imdb_title_id,original_title,year,director,budget,usa_gross_income,worlwide_gross_income,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
100,tt4633694,Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey","$90,000,000","$190,241,310","$375,540,831",8.4,335892,8.4,9,83558,98215,89030,40704,12438,4265,1757,1111,973,3841
101,tt4976192,211,2018,York Alec Shackleton,,,"$1,052,222",4.4,6613,4.5,5,310,103,212,534,894,1256,986,794,684,840
102,tt5460530,Vengeance: A Love Story,2017,Johnny Martin,,"$4,526","$73,270",5.2,6619,5.4,5,370,140,368,880,1465,1395,788,454,332,427
103,tt5462326,Mom and Dad,2017,Brian Taylor,"$7,000,000",,"$165,962",5.5,19643,5.5,6,674,405,1371,3326,4756,3873,2198,1207,764,1069
104,tt5580536,Arsenal,2017,Steven C. Miller,"$10,000,000",,"$41,037",4,3940,4.3,4,197,47,91,195,390,716,890,541,382,491
105,tt5910170,Inconceivable,2016,Tom Shell,"$1,300,000",,,5.1,200,5.5,5,24,5,7,23,38,43,15,15,13,17
106,tt6083648,Looking Glass,2018,Tim Hunter,,,"$76,788",4.6,5342,4.6,5,194,48,123,379,827,1319,1079,595,370,408
107,tt6998518,Mandy,2018,Panos Cosmatos,"$6,000,000","$1,214,525","$1,524,880",6.6,59764,6.5,7,5126,5657,11773,12813,8705,5086,3160,2291,1880,3273
108,tt7295450,Between Worlds,2018,Maria Pulera,,,"$146,339",4.2,4292,4.8,4,546,198,85,271,416,573,607,551,406,639
109,tt7424200,Teen Titans Go! To the Movies,2018,"Aaron Horvath, Peter Rida Michail","$10,000,000","$29,790,236","$52,090,236",6.8,15797,6.9,7,1781,992,2818,4607,2898,1232,491,245,188,545
